id,name,empl_id,project,process,sub_process,date,status,start_time,end_time,total_time,comments
51,vq20lzyItQbwsYRbon9inw==,eztE1a3SRDTFBFR9G9Y3yw==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,yuOtuXbHx/x4DiseZsOR4g==,13-Mar-18,Break,3/13/2018 6:28:01 PM,3/13/2018 6:29:26 PM,1.4,
54,vq20lzyItQbwsYRbon9inw==,eztE1a3SRDTFBFR9G9Y3yw==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,yuOtuXbHx/x4DiseZsOR4g==,13-Mar-18,System Locked,3/13/2018 6:29:32 PM,3/13/2018 6:31:21 PM,1.82,
55,vq20lzyItQbwsYRbon9inw==,eztE1a3SRDTFBFR9G9Y3yw==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,yuOtuXbHx/x4DiseZsOR4g==,13-Mar-18,System Locked,3/13/2018 6:29:32 PM,3/13/2018 6:31:21 PM,1.82,
56,CGPRAHn2jx3zh/vsrZdSHA==,BMXraUrJlWC7VDm9TGmr1g==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,oFX4W+50tGaQWTDJ8JXpEw==,13-Mar-18,System Locked,3/13/2018 6:43:33 PM,3/13/2018 6:43:40 PM,0.12,
57,CGPRAHn2jx3zh/vsrZdSHA==,BMXraUrJlWC7VDm9TGmr1g==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,oFX4W+50tGaQWTDJ8JXpEw==,13-Mar-18,System Locked,3/13/2018 7:04:57 PM,3/13/2018 7:26:05 PM,21.13,
58,u+hHHgsk7vXxk+pEpY5n/Q==,iDLGelE+x5b0qB63iEpffA==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,oFX4W+50tGaQWTDJ8JXpEw==,13-Mar-18,System Locked,13-03-2018 19:29:25,13-03-2018 19:29:33,0.13,
59,u+hHHgsk7vXxk+pEpY5n/Q==,iDLGelE+x5b0qB63iEpffA==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,oFX4W+50tGaQWTDJ8JXpEw==,14-Mar-18,System Locked,14-03-2018 10:45:20,14-03-2018 10:45:23,0.05,
60,ckmT4R9WVWB26monU3MHNw==,WzzOoD5iW8LNLWYNV7IiUA==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,yuOtuXbHx/x4DiseZsOR4g==,14-Mar-18,System Locked,14-Mar-18 10:40:41 AM,14-Mar-18 10:47:25 AM,6.72,
61,u+hHHgsk7vXxk+pEpY5n/Q==,iDLGelE+x5b0qB63iEpffA==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,oFX4W+50tGaQWTDJ8JXpEw==,14-Mar-18,System Locked,14-03-2018 11:16:00,14-03-2018 11:16:08,0.12,
62,u+hHHgsk7vXxk+pEpY5n/Q==,iDLGelE+x5b0qB63iEpffA==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,oFX4W+50tGaQWTDJ8JXpEw==,14-Mar-18,System Locked,14-03-2018 12:25:38,14-03-2018 12:25:46,0.12,
